gplay-name,gplay-technical-name,branding,device
Motorola motorola edge plus 2023,motorola rtwo,Motorola,rtwo
Nothing Phone 1,Nothing Spacewar,Nothing,Spacewar
Nothing Phone 2,Nothing Pong,Nothing,Pong
OnePlus 11 5G,OnePlus OP594DL1,OnePlus,OP594DL1
OnePlus 12,OnePlus OP595DL1,OnePlus,OP595DL1
OnePlus 12R,OnePlus OP5D35L1,OnePlus,OP5D35L1
Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
Redmi POCO F5,POCO marblein,POCO,marblein
Samsung Galaxy A71,samsung a71,Samsung,a71
Samsung Galaxy Tab S9+,samsung gts9pwifi,Samsung,gts9pwifi
Vivo T2 Pro 5G,vivo V2321,Vivo,V2321
Vivo V27,vivo V2231,Vivo,V2231
Xiaomi 13,Xiaomi fuxi,Xiaomi,fuxi
Xiaomi 13T,Xiaomi aristotle,Xiaomi,aristotle
Xiaomi 14T Pro,Xiaomi rothko,Xiaomi,rothko
